open,high,low,close,rsi,sma14,sma100,wvf,diff_upper,diff_lower,highest_long,highest_short
13753.5,13767.8,13752.2,13760.9,69.27979604843831,13724.7,13701.105999999998,-0.5553566339542123,1.5350262957126688,79.79497370428544,4.5,49.69999999999891
13760.9,13764.8,13754.0,13755.7,71.13874345549735,13729.314285714285,13701.686000000002,-0.5173585484731427,-8.597081465464726,75.79708146546545,9.699999999998909,44.5
13755.7,13764.3,13752.7,13763.3,72.59675405742826,13734.485714285716,13702.101999999999,-0.5728942118685532,-7.047114910583332,84.82711491058217,2.100000000000364,52.099999999998545
13763.3,13765.0,13755.5,13761.0,68.20371644872696,13738.264285714287,13702.83,-0.5560873663673126,-14.17793219401392,83.07793219401537,4.399999999999636,49.79999999999927
13761.0,13765.4,13748.0,13750.0,56.960120391271744,13739.585714285715,13703.252999999999,-0.47570680092657136,-27.29047411677311,69.51047411677428,1.3999999999996362,38.79999999999927
13750.0,13751.4,13727.4,13728.2,50.09927200529487,13739.607142857143,13703.579000000002,-0.31640713487128946,-48.694081616336916,44.65408161633604,14.699999999998909,41.400000000001455
13728.2,13739.0,13718.5,13722.5,48.432501599488255,13739.257142857143,13703.756000000001,-0.2747553873247182,-53.53147545221873,35.88147545221727,20.399999999999636,35.70000000000073
13722.5,13723.8,13711.2,13720.7,56.960120391271744,13740.578571428572,13703.833,-0.2616022038889659,-53.00207105702793,28.792071057032445,22.19999999999891,33.900000000001455
13720.7,13725.3,13711.8,13716.8,44.60562103354418,13739.72857142857,13703.854000000001,-0.233103639778147,-54.03890810043413,19.438908100431945,26.100000000000364,30.0
13716.8,13733.8,13714.7,13733.7,56.11205432937247,13740.757142857143,13704.113000000001,-0.35659741759166014,-36.329195327351044,32.9691953273541,9.199999999998909,46.900000000001455
13733.7,13738.3,13728.0,13736.7,54.8076923076924,13741.542857142855,13704.435,-0.37851938998458956,-33.54461788458502,35.66461788458764,6.199999999998909,49.900000000001455
13736.7,13742.9,13733.2,13736.3,53.31541218637975,13742.07142857143,13704.721000000001,-0.3755964603321883,-34.172445728887396,34.65244572888332,0.7000000000007276,49.5
13736.3,13737.0,13717.2,13722.3,36.92748091602976,13740.114285714286,13704.848,-0.2732939224985176,-48.26150488138774,21.25150488138206,12.5,35.5
13722.3,13730.8,13719.0,13727.8,37.934272300469146,13738.278571428573,13705.098999999998,-0.31348420521888826,-40.53976132134085,21.9697613213375,7.0,41.0
13727.8,13734.8,13718.3,13719.5,30.72625698324032,13735.32142857143,13705.348999999998,-0.2528334149317888,-49.16043268568683,14.910432685686828,6.299999999999272,32.70000000000073
13719.5,13725.8,13686.8,13695.9,26.23211446740835,13731.050000000001,13705.393,-0.08038056544074126,-75.70023190497523,-3.409768095021718,27.899999999999636,1.3999999999996362
13695.9,13703.7,13694.5,13697.9,22.79534109817044,13726.378571428571,13705.712,-0.0949952137026942,-75.85417524426339,3.5241752442652796,25.899999999999636,0.0
13697.9,13720.8,13697.9,13712.7,31.80105501130457,13722.92857142857,13706.125999999998,-0.20314361084115407,-61.33427621245937,20.224276212462428,11.099999999998545,8.5
13712.7,13718.3,13710.5,13718.0,37.40157480314997,13720.642857142857,13706.628999999999,-0.24187242873532408,-54.22157080469515,26.881570804691364,5.799999999999272,13.799999999999272
13718.0,13718.2,13712.5,13713.7,43.37899543379017,13719.607142857143,13707.073,-0.21045093497213055,-55.922622004860386,23.96262200485762,10.099999999998545,9.5
13713.7,13720.5,13713.5,13716.5,47.18574108818017,13719.17857142857,13707.576000000001,-0.23091144253885934,-48.45713813630027,26.53713813629838,7.299999999999272,12.299999999999272
13716.5,13721.8,13716.2,13717.9,48.68173258003718,13718.97857142857,13708.136999999999,-0.24114169632222376,-42.916864735409035,27.576864735405252,5.899999999999636,21.69999999999891
13717.9,13723.8,13717.8,13721.5,52.219074598678304,13719.314285714285,13708.722,-0.26744806319374176,-32.438848856714685,28.478848856715558,1.3999999999996362,25.299999999999272
13721.5,13722.9,13711.2,13712.0,38.984771573603695,13717.764285714284,13709.27,-0.19802848394946523,-34.20627120069912,16.14627120070145,10.299999999999272,15.799999999999272
13712.0,13720.4,13708.4,13716.5,39.89999999999964,13716.32142857143,13709.579,-0.23091144253885934,-24.060309662610962,18.350309662611835,5.799999999999272,20.299999999999272
13716.5,13722.3,13709.7,13716.2,39.939939939940444,13714.885714285714,13709.888,-0.22871924529957172,-23.382256938239152,18.272256938242208,3.7999999999992724,20.0
13716.2,13720.0,13704.2,13708.9,42.81115879828337,13713.92857142857,13710.054000000002,-0.17537577914343547,-30.37220686647197,12.022206866469787,7.399999999999636,12.699999999998909
13708.9,13713.7,13705.0,13707.3,38.52183650615892,13712.464285714286,13710.150999999998,-0.16368406053387044,-31.79423817528368,11.584238175284554,9.0,11.099999999998545
13707.3,13712.9,13704.7,13711.5,45.30516431924887,13711.892857142857,13710.292,-0.19437482188397698,-27.4892827774147,16.209282777415865,4.799999999999272,16.600000000000364
13711.5,13716.3,13705.3,13710.0,61.17274167987344,13712.9,13710.467999999999,-0.18341383568751224,-26.557858769267114,14.647858769270897,3.7999999999992724,15.100000000000364
13710.0,13713.3,13704.7,13705.7,55.96330275229445,13713.457142857142,13710.593,-0.1519923419243187,-27.30341249573212,9.893412495728626,8.099999999998545,10.800000000001091
13705.7,13706.9,13696.2,13701.8,39.999999999998664,13712.67857142857,13710.645999999999,-0.12349377781349982,-27.18635652593548,5.426356525937081,12.0,6.899999999999636
