,Bar_Time_UNIX,open,high,low,close,volume,Bar_Time_UTC_String
0,1639567800000,15880.0,15880.3,15862.4,15874.6,0,2021-12-15T11:30:00Z
1,1639568700000,15874.6,15891.5,15873.4,15887.9,0,2021-12-15T11:45:00Z
2,1639569600000,15887.9,15911.0,15887.6,15908.8,0,2021-12-15T12:00:00Z
3,1639570500000,15908.8,15916.6,15899.0,15916.0,0,2021-12-15T12:15:00Z
4,1639571400000,15916.0,15923.4,15911.6,15918.0,0,2021-12-15T12:30:00Z
5,1639572300000,15918.0,15926.1,15902.9,15905.6,0,2021-12-15T12:45:00Z
6,1639573200000,15905.6,15919.6,15894.5,15916.3,0,2021-12-15T13:00:00Z
7,1639574100000,15916.3,15937.0,15914.0,15929.5,0,2021-12-15T13:15:00Z
8,1622114100000,13655.2,13660.0,13649.8,13650.3,0,2021-05-27T11:15:00Z
9,1622115000000,13650.3,13653.8,13637.7,13642.3,0,2021-05-27T11:30:00Z
10,1622115900000,13642.3,13672.5,13642.3,13670.5,0,2021-05-27T11:45:00Z
11,1622116800000,13670.5,13685.3,13649.2,13654.6,0,2021-05-27T12:00:00Z
12,1622117700000,13654.6,13655.2,13634.6,13644.5,0,2021-05-27T12:15:00Z
13,1622118600000,13644.5,13671.6,13626.0,13646.5,0,2021-05-27T12:30:00Z
14,1622119500000,13646.5,13667.7,13642.3,13665.3,0,2021-05-27T12:45:00Z
15,1622120400000,13665.3,13684.8,13662.7,13682.7,0,2021-05-27T13:00:00Z
16,1622121300000,13682.7,13701.7,13678.8,13688.3,0,2021-05-27T13:15:00Z
17,1622122200000,13688.3,13698.2,13656.5,13665.3,0,2021-05-27T13:30:00Z
18,1622123100000,13665.3,13677.5,13647.2,13659.1,0,2021-05-27T13:45:00Z
19,1622124000000,13659.1,13688.8,13650.1,13683.2,0,2021-05-27T14:00:00Z
20,1622124900000,13683.2,13705.3,13680.8,13697.7,0,2021-05-27T14:15:00Z
21,1622125800000,13697.7,13725.2,13697.7,13721.7,0,2021-05-27T14:30:00Z
22,1622126700000,13721.7,13723.2,13680.7,13688.2,0,2021-05-27T14:45:00Z
23,1622127600000,13688.2,13710.7,13683.0,13707.7,0,2021-05-27T15:00:00Z
